Date,Transaction Description,Category,Amount,Type
03-01-2023,Sea three state some around.,Investment,4105,Income
04-01-2023,American audience fight war whether.,Entertainment,1259.88,Expense
04-01-2023,Rise mother.,Other,4124,Income
06-01-2023,Moment eat personal.,Rent,1794.22,Expense
09-01-2023,See indeed black police group.,Investment,3645,Income
10-01-2023,Third coach congress husband.,Shopping,635.86,Expense
11-01-2023,Move outside value.,Other,1190,Income
13-01-2023,Yard foot he share issue.,Travel,1560.15,Expense
15-01-2023,Drive nation heart nearly season.,Travel,418.84,Expense
16-01-2023,Language however risk work.,Entertainment,1498.21,Expense
17-01-2023,Career three according worker democrat.,Food & Drink,1569.77,Expense
18-01-2023,Sign wall.,Entertainment,994.83,Expense
19-01-2023,Memory number occur behind leave.,Other,1081,Income
19-01-2023,Enter threat economic.,Food & Drink,1973.9,Expense
19-01-2023,Begin hundred truth.,Utilities,779.81,Expense
19-01-2023,Society common stay ready.,Shopping,737.17,Expense
19-01-2023,Organization feel.,Salary,1909.36,Expense
20-01-2023,Bad argue side girl.,Food & Drink,1178.85,Expense
21-01-2023,Us building side section.,Investment,826,Income
21-01-2023,Him fight american music change.,Shopping,1018.16,Expense
22-01-2023,Check purpose young.,Shopping,852.91,Expense
23-01-2023,Offer bed it skill challenge.,Utilities,562.16,Expense
23-01-2023,Live seat.,Entertainment,1948.88,Expense
23-01-2023,Energy huge its recently.,Other,3700,Income
24-01-2023,Nice maintain present cultural.,Rent,627.24,Expense
24-01-2023,Drug entire involve.,Entertainment,125.23,Expense
24-01-2023,Both including.,Other,1450,Income
24-01-2023,Couple general pretty show.,Food & Drink,625.49,Expense
24-01-2023,Pattern wrong kind certainly.,Utilities,247.69,Expense
24-01-2023,Current health serious.,Food & Drink,336.03,Expense
25-01-2023,Science drug.,Travel,342.26,Expense
26-01-2023,Add really born.,Other,1467,Income
27-01-2023,Age decade mrs data.,Food & Drink,676.67,Expense
27-01-2023,Nature performance yeah.,Rent,533.27,Expense
28-01-2023,On professional analysis color.,Rent,997.33,Expense
29-01-2023,Smile peace apply.,Food & Drink,1004.22,Expense
29-01-2023,Home even.,Health & Fitness,323.05,Expense
30-01-2023,Affect test.,Rent,464.52,Expense
31-01-2023,Woman meet report.,Food & Drink,1718.79,Expense
31-01-2023,Term mother cost may.,Investment,4364,Income
01-02-2023,Unit again easy morning four.,Utilities,366.13,Expense
02-02-2023,Adult range green.,Food & Drink,1110.2,Expense
03-02-2023,You without every.,Shopping,456.79,Expense
06-02-2023,Election hit yourself wrong want.,Health & Fitness,549.8,Expense
07-02-2023,Charge today prevent.,Other,1478,Income
07-02-2023,Minute question their rather.,Food & Drink,366.9,Expense
08-02-2023,Of interview fine.,Food & Drink,1908.62,Expense
08-02-2023,My deal catch must.,Other,2812,Income
09-02-2023,Finally relate model.,Travel,661.33,Expense
12-02-2023,Yet wish certain usually.,Food & Drink,744.15,Expense
13-02-2023,Attack mouth rest contain.,Travel,1481.76,Expense
15-02-2023,She they.,Health & Fitness,1187.46,Expense
16-02-2023,Field seat start pm.,Entertainment,1467.6,Expense
18-02-2023,Single blood continue.,Entertainment,309.63,Expense
20-02-2023,Note discuss discussion reach grow.,Food & Drink,473.67,Expense
20-02-2023,Maybe painting republican.,Food & Drink,1902.47,Expense
22-02-2023,System man case.,Other,3019,Income
22-02-2023,Allow share address.,Investment,3939,Income
24-02-2023,Development provide dark daughter.,Food & Drink,1945.39,Expense
26-02-2023,Term majority foot leader.,Other,1262,Income
26-02-2023,If among save herself.,Investment,4757,Income
26-02-2023,Particularly score order modern.,Health & Fitness,922.33,Expense
28-02-2023,Body lead there there early.,Rent,1015.8,Expense
03-03-2023,Worker always hold share.,Shopping,158.91,Expense
03-03-2023,Fact huge fight.,Shopping,1328.26,Expense
05-03-2023,Coach family try ready.,Other,2638,Income
05-03-2023,Stop later reveal both.,Shopping,1404.44,Expense
05-03-2023,Career including late condition opportunity.,Health & Fitness,910.99,Expense
07-03-2023,Bed food possible represent.,Entertainment,280.86,Expense
08-03-2023,Before relationship plant.,Rent,319.27,Expense
08-03-2023,Religious risk window partner civil.,Other,3072,Income
08-03-2023,Analysis color friend the.,Health & Fitness,1929.62,Expense
08-03-2023,Than condition republican.,Travel,932.06,Expense
10-03-2023,Finally shoulder land.,Rent,323.65,Expense
10-03-2023,Together whether about.,Food & Drink,437.89,Expense
12-03-2023,Learn talk.,Utilities,191.51,Expense
13-03-2023,Part management.,Health & Fitness,798.53,Expense
13-03-2023,Process law kind over according.,Other,2631,Income
13-03-2023,People newspaper stay.,Utilities,71.85,Expense
15-03-2023,Challenge president already.,Salary,1116.35,Expense
15-03-2023,Study fear turn any indicate.,Rent,929.47,Expense
16-03-2023,Public particularly reality.,Utilities,251.69,Expense
16-03-2023,Concern lay often use behavior.,Investment,1570,Income
18-03-2023,Happy her attack interview.,Other,3549,Income
18-03-2023,Fall care.,Rent,1168.82,Expense
21-03-2023,Money modern receive partner.,Rent,53.38,Expense
22-03-2023,Role pick would low read.,Other,1555,Income
23-03-2023,Participant first moment yet.,Other,1503,Income
23-03-2023,Pass market role.,Other,914,Income
23-03-2023,Space this discussion fact.,Other,3735,Income
24-03-2023,Brother let.,Shopping,1369.59,Expense
27-03-2023,Son yourself increase.,Investment,2033,Income
29-03-2023,Night point action cut.,Salary,1768.01,Expense
30-03-2023,So film media.,Investment,2917,Income
31-03-2023,Box four.,Salary,131.35,Expense
31-03-2023,Pattern ahead compare form full.,Utilities,844.28,Expense
01-04-2023,Something population loss physical.,Entertainment,1265.2,Expense
01-04-2023,Leg sport until argue.,Food & Drink,1978.91,Expense
04-04-2023,North question new.,Health & Fitness,964.57,Expense
07-04-2023,Officer forward trouble.,Health & Fitness,1826.23,Expense
08-04-2023,Wide exactly.,Shopping,548.17,Expense
09-04-2023,Worker phone success number.,Investment,740,Income
10-04-2023,Organization ten seem.,Travel,126.6,Expense
10-04-2023,Even beautiful.,Health & Fitness,1536.02,Expense
13-04-2023,Later week democratic few.,Utilities,209.27,Expense
15-04-2023,Size sing tree kitchen.,Travel,1072.04,Expense
16-04-2023,Toward child future low.,Food & Drink,1530.46,Expense
20-04-2023,Simply century the.,Shopping,716.06,Expense
20-04-2023,Day already hold.,Utilities,360.44,Expense
21-04-2023,About usually.,Health & Fitness,1828.82,Expense
22-04-2023,Level animal minute probably.,Other,1664,Income
22-04-2023,Officer fine.,Entertainment,1675.03,Expense
23-04-2023,Customer expert mother significant.,Salary,1088.83,Expense
24-04-2023,Chance event address.,Investment,1239,Income
25-04-2023,Bill my near even wall.,Investment,663,Income
02-05-2023,Each author party full kitchen.,Food & Drink,670.15,Expense
02-05-2023,Likely push.,Utilities,688.11,Expense
03-05-2023,Approach interview condition other.,Other,987,Income
05-05-2023,Green forward cup serve speak.,Investment,1408,Income
05-05-2023,Nothing behavior sort recognize.,Health & Fitness,1921.51,Expense
05-05-2023,Financial popular short like.,Shopping,1176.17,Expense
07-05-2023,Technology pay tree.,Health & Fitness,281.54,Expense
12-05-2023,Record professor small.,Other,4491,Income
14-05-2023,Maintain assume both long.,Utilities,1417.29,Expense
14-05-2023,Should page camera.,Health & Fitness,454.24,Expense
14-05-2023,Stage someone for power.,Utilities,762.98,Expense
15-05-2023,Leave opportunity draw during city.,Travel,263.42,Expense
15-05-2023,At decade really issue.,Shopping,1703.01,Expense
16-05-2023,Skin name door production back.,Food & Drink,372.34,Expense
17-05-2023,Boy other foot best.,Entertainment,1282.9,Expense
18-05-2023,Final image our.,Other,1652,Income
19-05-2023,Management produce bed stage.,Rent,483.61,Expense
20-05-2023,Serious produce.,Utilities,1276.01,Expense
20-05-2023,Factor past language day theory.,Health & Fitness,898.79,Expense
20-05-2023,Some quickly truth view response.,Entertainment,1389.42,Expense
22-05-2023,Old particularly.,Rent,1443.62,Expense
22-05-2023,Summer system artist too.,Other,3937,Income
22-05-2023,Reflect star.,Shopping,991.23,Expense
25-05-2023,Technology tend.,Shopping,211.84,Expense
28-05-2023,Reduce hour fish him.,Entertainment,333.69,Expense
29-05-2023,Nation production little could.,Investment,2915,Income
29-05-2023,Style child young prove.,Other,1357,Income
30-05-2023,Author administration.,Investment,3575,Income
02-06-2023,Window career case south.,Investment,4981,Income
03-06-2023,Us perhaps lawyer interest star.,Rent,682.52,Expense
04-06-2023,Difficult interesting account marriage.,Salary,1411.96,Expense
05-06-2023,Especially unit office almost.,Utilities,1218.56,Expense
08-06-2023,Low happy oil which bag.,Food & Drink,211.5,Expense
08-06-2023,Let back three.,Entertainment,824.47,Expense
09-06-2023,Line score whether.,Travel,1324.59,Expense
09-06-2023,Something fine apply gas sing.,Rent,108.77,Expense
10-06-2023,Mention light safe inside.,Salary,315.64,Expense
10-06-2023,Cold reason our.,Shopping,184.38,Expense
13-06-2023,Employee picture official of prevent.,Salary,407.35,Expense
15-06-2023,Agree machine camera baby six.,Investment,2890,Income
16-06-2023,Past every either.,Salary,1689.1,Expense
16-06-2023,Company option character land space.,Shopping,947.18,Expense
17-06-2023,Machine son television.,Travel,191.36,Expense
17-06-2023,Whose other.,Utilities,748.33,Expense
19-06-2023,Sell include himself produce.,Utilities,897.09,Expense
21-06-2023,Official success approach.,Salary,534.17,Expense
22-06-2023,Apply less.,Food & Drink,310.75,Expense
22-06-2023,Live way two.,Rent,180.56,Expense
23-06-2023,Raise hope enjoy most.,Shopping,1941.7,Expense
25-06-2023,Eye something.,Food & Drink,1683.19,Expense
25-06-2023,Which raise american truth.,Shopping,1931.6,Expense
25-06-2023,Particular present evening establish.,Salary,1149.7,Expense
26-06-2023,Pressure hospital significant.,Travel,167.12,Expense
30-06-2023,Side mind question year finish.,Food & Drink,1009.18,Expense
01-07-2023,Story activity.,Utilities,249.36,Expense
02-07-2023,Billion land detail exist cover.,Utilities,1898.63,Expense
